YEAR,STATEFIP,FEMALE,AGE,HISPANIC,ASIAN,BLACK,PACIFICISLANDER,WHITE,COLLEGE,INCOME
2018,15,1,18,0,0,0,0,1,0,3000
2018,15,0,92,0,0,0,1,0,0,20600
2018,15,0,22,0,0,0,0,1,0,20000
2018,15,0,96,0,1,0,0,0,0,1900
2018,15,1,18,0,0,0,1,0,0,2400
2018,15,0,18,0,0,1,0,0,0,26000
2018,15,0,29,0,0,0,0,1,0,48000
2018,15,0,42,0,0,0,0,1,0,510
2018,15,0,62,0,1,0,0,0,0,28800
2018,15,1,22,1,0,0,0,1,0,4050
2018,15,0,23,0,0,0,0,1,0,30000
2018,15,0,23,0,0,0,0,1,0,32200
2018,15,0,21,0,0,0,0,1,0,29000
2018,15,1,19,0,0,0,0,1,0,3000
2018,15,0,56,0,0,0,0,1,0,0
2018,15,0,23,0,0,0,1,0,0,8000
2018,15,0,25,0,0,1,0,0,0,0
2018,15,1,21,0,1,0,0,0,0,0
2018,15,1,20,0,0,1,0,0,0,30000
2018,15,1,49,0,0,0,0,1,0,330
2018,15,1,96,0,1,0,0,0,0,15300
2018,15,0,73,0,0,0,0,1,0,9500
2018,15,0,37,0,0,0,1,0,0,5000
2018,15,0,30,0,0,0,0,1,0,16800
2018,15,0,37,0,0,0,1,0,0,0
2018,15,1,41,0,0,0,1,0,0,7500
2018,15,1,91,0,1,0,0,0,1,15300
2018,15,0,25,0,0,0,0,1,0,8000
2018,15,0,35,0,0,0,0,1,0,40000
2018,15,0,27,0,0,0,0,1,0,28400
2018,15,0,29,0,0,0,0,1,1,32000
2018,15,0,38,0,0,0,1,0,0,0
2018,15,1,89,0,1,0,0,0,0,15900
2018,15,0,27,0,1,0,0,0,0,29100
2018,15,0,21,1,0,0,0,0,0,26000
2018,15,1,20,1,1,0,1,0,0,200
2018,15,0,30,0,0,0,0,1,0,20000
2018,15,0,96,0,1,0,0,0,0,18300
2018,15,0,69,0,0,0,1,0,0,0
2018,15,0,20,0,0,0,0,1,0,14000
2018,15,1,25,1,0,0,0,0,0,29000
2018,15,0,20,1,0,0,1,0,0,0
2018,15,0,21,0,0,0,0,1,0,26000
2018,15,0,20,0,1,0,0,0,0,0
2018,15,0,20,0,1,0,0,0,0,0
2018,15,0,20,0,0,0,0,1,0,30000
2018,15,1,24,0,1,0,0,0,0,8900
2018,15,1,80,0,0,0,0,1,1,0
2018,15,0,61,0,1,0,0,0,0,0
2018,15,1,21,0,0,0,0,1,0,6000
2018,15,0,23,0,0,0,0,1,0,20000
2018,15,0,24,1,0,1,0,0,0,26600
2018,15,0,64,1,0,0,1,0,0,8500
2018,15,1,29,0,0,0,1,0,0,10500
2018,15,0,19,0,0,0,0,1,0,14000
2018,15,0,49,0,1,0,0,0,0,9000
2018,15,0,40,0,0,0,1,0,0,5600
2018,15,0,32,0,0,0,0,1,0,0
2018,15,1,19,1,0,0,0,0,0,30000
2018,15,1,19,0,1,0,1,0,0,500
2018,15,0,43,0,0,0,0,1,0,9000
2018,15,0,20,0,0,0,0,1,0,6000
2018,15,1,96,0,0,0,0,1,0,10100
2018,15,0,22,0,0,0,0,1,0,25000
2018,15,0,21,0,0,0,0,1,0,32000
2018,15,1,21,0,0,0,0,1,0,32000
2018,15,0,19,0,0,0,0,1,0,30000
2018,15,0,36,0,1,0,1,1,0,0
2018,15,1,19,0,1,0,1,0,0,500
2018,15,0,72,0,1,0,0,0,1,18300
2018,15,1,88,0,0,0,0,1,0,16900
2018,15,1,38,0,0,1,0,0,0,50000
2018,15,0,58,1,0,0,0,1,0,9000
2018,15,0,21,0,0,0,0,1,0,22000
2018,15,0,92,0,0,0,1,0,0,20600
2018,15,1,19,0,0,0,0,1,0,3000
2018,15,0,55,0,0,0,1,0,0,24000
2018,15,0,20,0,1,0,0,0,0,8000
2018,15,0,58,1,0,0,0,1,0,9000
2018,15,0,26,1,0,1,0,0,0,48000
2018,15,0,63,0,0,0,0,1,0,3770
2018,15,0,26,0,0,0,1,0,0,0
2018,15,0,62,0,1,0,0,0,0,28800
2018,15,0,74,0,1,0,0,0,0,9000
2018,15,1,92,0,1,0,0,0,0,12400
2018,15,0,43,0,1,0,1,1,0,0
2018,15,1,96,0,1,0,0,0,0,12600
2018,15,0,49,0,1,0,0,0,0,0
2018,15,0,38,0,0,0,1,0,0,0
2018,15,1,65,0,1,0,0,0,0,24200
2018,15,1,25,0,0,0,1,0,0,25000
2018,15,0,80,0,1,0,0,0,0,18100
2018,15,0,25,0,1,0,1,1,0,8900
2018,15,0,20,0,0,0,0,1,0,30000
2018,15,1,19,1,0,1,0,0,0,30000
2018,15,1,22,0,0,0,0,1,0,2500
2018,15,0,25,0,1,0,1,1,0,8900
2018,15,1,20,0,1,0,0,0,0,0
2018,15,0,20,1,0,0,0,0,0,14000
2018,15,0,23,0,0,0,0,1,0,20000
2018,15,1,18,0,0,0,0,1,0,2500
2018,15,0,57,0,0,0,0,1,0,0
2018,15,0,20,1,0,0,0,0,0,14000
2018,15,0,19,0,0,0,0,1,0,20000
2018,15,0,69,0,1,0,0,0,1,9300
2018,15,0,49,0,0,1,0,0,0,9000
2018,15,1,73,1,0,0,0,0,0,0
2018,15,0,22,0,1,0,0,0,0,0
2018,15,0,57,0,0,0,1,0,0,0
2018,15,1,69,0,0,0,1,0,1,18600
2018,15,1,96,0,1,0,0,0,1,12400
2018,15,0,25,0,0,1,0,0,0,30000
2018,15,1,67,0,1,0,0,0,1,16400
2018,15,0,39,0,0,1,0,0,0,0
2018,15,0,85,0,1,0,0,0,0,0
2018,15,0,69,0,1,0,0,0,1,9300
2018,15,0,17,0,0,0,1,0,0,0
2018,15,0,22,0,1,0,0,0,0,0
2018,15,1,96,0,1,0,0,0,0,15300
2018,15,0,40,0,0,0,1,0,0,16000
2018,15,0,21,1,0,0,0,1,0,24000
2018,15,0,37,0,0,1,0,0,0,600
2018,15,1,24,0,0,1,0,0,0,30000
2018,15,1,54,0,0,0,1,0,0,4200
2018,15,0,90,0,1,0,0,0,0,0
